Region,Year,Crime,Pollution,Price
Airport,2010,8.380604616,74,7.039583273
Airport,2011,10.61776827,61,7.245749382
Airport,2012,9.193290611,69,7.876662332
Airport,2013,9.137011196,42,9.075762097
Airport,2014,8.781430486,67,10.98277018
Airport,2015,8.980242455,68,13.25342571
Airport,2016,11.35610724,53,15.18016442
Airport,2017,10.66064238,39,15.80149799
Airport,2018,5.511767269,53,16.12764245
Airport,2019,5.626770359,37,15.59786012
Airport,2020,4.731059977,41,16.67720936
Airport,2021,3.835349595,34,17.41284833
Airport,2022,2.939639213,17,18.14848731
Airport,2023,2.043928831,35,18.88412628
Allerton-Pelham Gardens,2010,7.802290318,58,2.067576854
Allerton-Pelham Gardens,2011,6.873592056,74,2.611482173
Allerton-Pelham Gardens,2012,7.443991693,50,2.020921314
Allerton-Pelham Gardens,2013,7.279805559,57,2.767409876
Allerton-Pelham Gardens,2014,6.770566892,41,3.844170504
Allerton-Pelham Gardens,2015,6.587083981,44,5.236469885
Allerton-Pelham Gardens,2016,6.753559563,54,6.664374811
Allerton-Pelham Gardens,2017,5.544730975,45,7.88232983
Allerton-Pelham Gardens,2018,4.748330105,44,9.566840188
Allerton-Pelham Gardens,2019,4.600560719,47,10.52614346
Allerton-Pelham Gardens,2020,4.281876797,31,11.5620219
Allerton-Pelham Gardens,2021,3.963192875,45,12.61844438
Allerton-Pelham Gardens,2022,3.644508953,14,13.67486686
Allerton-Pelham Gardens,2023,3.325825031,18,14.73128934
Annadale-Huguenot-Prince's Bay-Eltingville,2010,4.512189889,57,1.149199489
Annadale-Huguenot-Prince's Bay-Eltingville,2011,4.840562157,58,1.709065907
Annadale-Huguenot-Prince's Bay-Eltingville,2012,4.951436857,59,1.749582556
Annadale-Huguenot-Prince's Bay-Eltingville,2013,5.175148641,31,3.601070612
Annadale-Huguenot-Prince's Bay-Eltingville,2014,5.059695045,67,3.570376186
Annadale-Huguenot-Prince's Bay-Eltingville,2015,4.857242421,58,6.323052736
Annadale-Huguenot-Prince's Bay-Eltingville,2016,4.461004371,53,8.688979472
Annadale-Huguenot-Prince's Bay-Eltingville,2017,4.22290177,43,10.42137314
Annadale-Huguenot-Prince's Bay-Eltingville,2018,3.537866197,38,10.42505647
Annadale-Huguenot-Prince's Bay-Eltingville,2019,3.489215945,40,12.0338539
Annadale-Huguenot-Prince's Bay-Eltingville,2020,3.305865456,31,13.18484379
Annadale-Huguenot-Prince's Bay-Eltingville,2021,3.122514967,25,14.37929465
Annadale-Huguenot-Prince's Bay-Eltingville,2022,2.939164478,39,15.5737455
Annadale-Huguenot-Prince's Bay-Eltingville,2023,2.75581399,17,16.76819636
Arden Heights,2010,2.795267357,67,2.087221285
Arden Heights,2011,2.865422588,91,1.828160294
Arden Heights,2012,2.617835131,66,1.699243684
Arden Heights,2013,3.29027874,63,3.948531579
Arden Heights,2014,3.548168713,60,4.203909238
Arden Heights,2015,2.728382767,56,8.010018653
Arden Heights,2016,2.813255878,70,11.57548373
Arden Heights,2017,2.524131291,40,13.14458304
Arden Heights,2018,2.289789927,36,12.60436107
Arden Heights,2019,2.228556239,49,13.32220148
Arden Heights,2020,2.123265231,35,14.59862616
Arden Heights,2021,2.017974223,24,15.69382481
Arden Heights,2022,1.912683215,28,16.78902346
Arden Heights,2023,1.807392207,31,17.8842221
Astoria,2010,9.997216903,65,5.13701993
Astoria,2011,9.824363573,70,5.060897751
Astoria,2012,9.043661776,66,6.66069148
Astoria,2013,9.853635802,56,8.27276299
Astoria,2014,10.46230193,57,11.22065612
Astoria,2015,9.936219465,58,13.9721049
Astoria,2016,10.33507403,56,15.26372655
Astoria,2017,10.40244921,44,15.09674884
Astoria,2018,9.080292945,46,14.26922699
Astoria,2019,9.25220925,42,14.5810824
Astoria,2020,9.136504594,37,15.40680848
Astoria,2021,9.020799939,33,16.04633336
Astoria,2022,8.905095283,28,16.68585825
Astoria,2023,8.789390628,24,17.32538313
Auburndale,2010,2.664278221,64,5.667419694
Auburndale,2011,2.3381954,63,5.759502986
Auburndale,2012,2.11481068,58,6.880463609
Auburndale,2013,2.227974828,51,8.141390822
Auburndale,2014,1.960927063,59,10.63009528
Auburndale,2015,1.954058718,51,12.87569982
Auburndale,2016,1.955366974,67,14.73455456
Auburndale,2017,1.702382961,43,14.79594342
Auburndale,2018,1.82454137,47,15.13235438
Auburndale,2019,1.731303444,34,15.10984513
Auburndale,2020,1.672557423,43,16.12871686
Auburndale,2021,1.613811403,40,16.90906494
Auburndale,2022,1.555065382,29,17.68941303
Auburndale,2023,1.496319361,31,18.46976111
Baisley Park,2010,5.136882152,67,6.8534431
Baisley Park,2011,6.067052202,70,7.048871531
Baisley Park,2012,5.129850275,41,7.691016949
Baisley Park,2013,5.044159504,35,8.899320873
Baisley Park,2014,5.226170627,53,10.81902378
Baisley Park,2015,3.878339833,60,13.0592845
Baisley Park,2016,3.603442531,58,14.98270792
Baisley Park,2017,3.526091892,50,15.58315885
Baisley Park,2018,3.396738076,61,15.90132157
Baisley Park,2019,3.112944839,54,15.40054896
Baisley Park,2020,2.8656109,51,16.47037919
Baisley Park,2021,2.618276961,31,17.20375539
Baisley Park,2022,2.370943023,8,17.93713158
Baisley Park,2023,2.123609084,16,18.67050778
Bath Beach,2010,4.928542376,67,8.407818476
Bath Beach,2011,4.463620883,77,6.302180533
Bath Beach,2012,5.130504404,65,6.992191332
Bath Beach,2013,5.42780559,49,7.650279934
Bath Beach,2014,5.442687003,59,9.710490124
Bath Beach,2015,5.0405618,56,12.30846674
Bath Beach,2016,5.075394117,71,14.74314899
Bath Beach,2017,5.317421486,35,13.96964934
Bath Beach,2018,4.114643582,45,12.9690109
Bath Beach,2019,4.296242239,44,13.17159415
Bath Beach,2020,4.214255858,30,13.45090518
Bath Beach,2021,4.132269477,25,13.64980597
Bath Beach,2022,4.050283096,41,13.84870676
Bath Beach,2023,3.968296715,33,14.04760755
Battery Park City-Lower Manhattan,2010,9.644405627,50,22.80227875
Battery Park City-Lower Manhattan,2011,12.30240066,59,23.00240644
Battery Park City-Lower Manhattan,2012,11.30675616,53,26.68819369
Battery Park City-Lower Manhattan,2013,10.36982601,35,28.53845398
Battery Park City-Lower Manhattan,2014,11.17058693,32,30.37029761
Battery Park City-Lower Manhattan,2015,12.42580746,47,35.92353404
Battery Park City-Lower Manhattan,2016,12.95264348,50,36.44165602
Battery Park City-Lower Manhattan,2017,7.73929881,38,36.16663393
Battery Park City-Lower Manhattan,2018,10.14480107,32,36.35202828
Battery Park City-Lower Manhattan,2019,9.543571889,31,37.68621288
Battery Park City-Lower Manhattan,2020,9.31089138,26,38.91619241
Battery Park City-Lower Manhattan,2021,9.078210871,24,40.09833099
Battery Park City-Lower Manhattan,2022,8.845530362,24,41.28046957
